failure_type,count,percentage
"Load error: could not determine a constructor for the tag '!$let'
  in ""<unicode string>"", line 15, column 21:
      LoadBalancerPort: !$let
                        ^",1,0.03
"Load error: could not determine a constructor for the tag '!$split'
  in ""<unicode string>"", line 18, column 14:
        Default: !$split ["","", ""apple,banana,cher ... 
                 ^",1,0.03
"Load error: could not determine a constructor for the tag '!$toJsonString'
  in ""<unicode string>"", line 16, column 14:
          Value: !$toJsonString
                 ^",1,0.03
"Load error: could not determine a constructor for the tag '!Contains'
  in ""<unicode string>"", line 300, column 25:
        RuleCondition: !Or [!Contains [[m4.large, m4.xlarge, ... 
                            ^",1,0.03
"Load error: could not determine a constructor for the tag '!Contains'
  in ""<unicode string>"", line 382, column 17:
            Assert: !Contains
                    ^",1,0.03
"Load error: could not determine a constructor for the tag '!Contains'
  in ""<unicode string>"", line 388, column 17:
          - Assert: !Contains
                    ^",1,0.03
"Load error: while scanning for the next token
found character '\t' that cannot start any token
  in ""<unicode string>"", line 231, column 24:
              Value: EC2-SG	            
                           ^",1,0.03
"Load error: while scanning for the next token
found character '\t' that cannot start any token
  in ""<unicode string>"", line 248, column 43:
     ... y: tag:aws:autoscaling:groupName	
                                         ^",1,0.03
"Load error: while scanning for the next token
found character '\t' that cannot start any token
  in ""<unicode string>"", line 256, column 24:
              Value: EC2-SG	            
                           ^",1,0.03
"Load error: while scanning for the next token
found character '\t' that cannot start any token
  in ""<unicode string>"", line 258, column 24:
              Value: EC2-SG	            
                           ^",1,0.03
"Load error: while scanning for the next token
found character '\t' that cannot start any token
  in ""<unicode string>"", line 266, column 24:
              Value: EC2-SG	            
                           ^",1,0.03
"Load error: while scanning for the next token
found character '\t' that cannot start any token
  in ""<unicode string>"", line 281, column 43:
     ... y: tag:aws:autoscaling:groupName	
                                         ^",1,0.03
"Load error: while scanning for the next token
found character '\t' that cannot start any token
  in ""<unicode string>"", line 285, column 24:
              Value: EC2-SG	            
                           ^",1,0.03
"Load error: while scanning for the next token
found character '\t' that cannot start any token
  in ""<unicode string>"", line 298, column 24:
              Value: EC2-SG	            
                           ^",1,0.03
"Load error: while scanning for the next token
found character '\t' that cannot start any token
  in ""<unicode string>"", line 3, column 1:
    	""uri"": ""/"",
    ^",1,0.03
"Load error: while scanning for the next token
found character '\t' that cannot start any token
  in ""<unicode string>"", line 3, column 1:
    	""uri"": ""/vi/"",
    ^",1,0.03
"Load error: while scanning for the next token
found character '\t' that cannot start any token
  in ""<unicode string>"", line 300, column 43:
     ... y: tag:aws:autoscaling:groupName	
                                         ^",1,0.03
"Load error: while scanning for the next token
found character '\t' that cannot start any token
  in ""<unicode string>"", line 36, column 28:
                Encrypted: True	# https://aws.amazon.com/about- ... 
                               ^",1,0.03
"Load error: while scanning for the next token
found character '\t' that cannot start any token
  in ""<unicode string>"", line 37, column 1:
    	include:
    ^",1,0.03
"Load error: while scanning for the next token
found character '\t' that cannot start any token
  in ""<unicode string>"", line 41, column 1:
    	# add ID of virtual server and  ... 
    ^",1,0.03
"Load error: while scanning for the next token
found character '\t' that cannot start any token
  in ""<unicode string>"", line 69, column 1:
    	
    ^",1,0.03
"Load error: could not determine a constructor for the tag '!Rain::S3'
  in ""<unicode string>"", line 15, column 13:
          Code: !Rain::S3 
                ^",1,0.03
"Load error: could not determine a constructor for the tag '!Rain::S3'
  in ""<unicode string>"", line 37, column 13:
          Code: !Rain::S3
                ^",1,0.03
"Load error: could not determine a constructor for the tag '!Rain::S3'
  in ""<unicode string>"", line 5, column 13:
          Code: !Rain::S3 
                ^",1,0.03
"Load error: could not determine a constructor for the tag '!Rain::S3'
  in ""<unicode string>"", line 6, column 9:
            !Rain::S3
            ^",1,0.03
"Load error: could not determine a constructor for the tag '!Rain::S3'
  in ""<unicode string>"", line 60, column 16:
          Content: !Rain::S3 
                   ^",1,0.03
"Load error: could not determine a constructor for the tag '!ReadFile'
  in ""<unicode string>"", line 17, column 13:
              - !ReadFile 'bucketPolicyDoc.json'
                ^",1,0.03
"Load error: could not determine a constructor for the tag '!ReadFile'
  in ""<unicode string>"", line 26, column 18:
            ZipFile: !ReadFile './src/index.js'
                     ^",1,0.03
"Load error: could not determine a constructor for the tag '!ReadFile'
  in ""<unicode string>"", line 29, column 18:
            ZipFile: !ReadFile './lambda-using-read-f ... 
                     ^",1,0.03
"Load error: could not determine a constructor for the tag '!Ref:'
  in ""<unicode string>"", line 138, column 17:
                  - !Ref: AWS::NoValue
                    ^",1,0.03
"Load error: could not determine a constructor for the tag '!sub'
  in ""<unicode string>"", line 123, column 13:
                !sub
                ^",1,0.03
"Load error: could not determine a constructor for the tag 'tag:yaml.org,2002:Ref'
  in ""<unicode string>"", line 58, column 25:
            CacheNamespace: !!Ref SMSResource
                            ^",1,0.03
"Load error: could not determine a constructor for the tag 'tag:yaml.org,2002:Ref'
  in ""<unicode string>"", line 86, column 18:
          RestApiId: !!Ref TemperatureApi
                     ^",1,0.03
"Load error: could not determine a constructor for the tag 'tag:yaml.org,2002:Ref'
  in ""<unicode string>"", line 86, column 27:
                  RegionName: !!Ref ClusterRegionName
                              ^",1,0.03
"Load error: expected '<document start>', but found '<block mapping start>'
  in ""<unicode string>"", line 17, column 1:
    Resources:
    ^",1,0.03
"Load error: expected '<document start>', but found '<block mapping start>'
  in ""<unicode string>"", line 2, column 1:
    Resources:
    ^",1,0.03
"Load error: expected a single document in the stream
  in ""<unicode string>"", line 2, column 1:
    name: s3-buckets
    ^
but found another document
  in ""<unicode string>"", line 4, column 1:
    ---
    ^",1,0.03
"Load error: mapping values are not allowed here
  in ""<unicode string>"", line 11, column 21:
            Type:   Type: AWS::IAM::Role
                        ^",1,0.03
"Load error: mapping values are not allowed here
  in ""<unicode string>"", line 14, column 23:
          BucketEncryption:
                          ^",1,0.03
"Load error: mapping values are not allowed here
  in ""<unicode string>"", line 2, column 27:
      AWSTemplateFormatVersion: ""2010-09-09""
                              ^",1,0.03
"Load error: mapping values are not allowed here
  in ""<unicode string>"", line 2, column 29:
      ""AWSTemplateFormatVersion"": ""2010-09-09"",
                                ^",1,0.03
"Load error: mapping values are not allowed here
  in ""<unicode string>"", line 22, column 16:
            Subnets: !Ref Subnets
                   ^",1,0.03
"Load error: mapping values are not allowed here
  in ""<unicode string>"", line 255, column 27:
          SecurityGroupIngress:
                              ^",1,0.03
"Load error: mapping values are not allowed here
  in ""<unicode string>"", line 3, column 15:
        MyKey: Ref: AWS::NoValue
                  ^",1,0.03
"Load error: mapping values are not allowed here
  in ""<unicode string>"", line 38, column 14:
          ImageId: 
                 ^",1,0.03
"Load error: mapping values are not allowed here
  in ""<unicode string>"", line 5, column 9:
        Type: String
            ^",1,0.03
