template_name,template_language,tool,smell_type,element_name
template_08937_vpc-template.json,cloudformation,trivy,,
template_08937_vpc-template.json,cloudformation,trivy,,
template_08937_vpc-template.json,cloudformation,trivy,,
template_08937_vpc-template.json,cloudformation,trivy,,
template_08937_vpc-template.json,cloudformation,trivy,,
template_08937_vpc-template.json,cloudformation,trivy,,
template_08937_vpc-template.json,cloudformation,trivy,,
template_08937_vpc-template.json,cloudformation,trivy,,
template_08937_vpc-template.json,cloudformation,checkov,,
template_09578_340804757.yaml,cloudformation,cfn-lint,,
template_09578_340804757.yaml,cloudformation,cfn-lint,,
template_09578_340804757.yaml,cloudformation,cfn-lint,,
template_09578_340804757.yaml,cloudformation,trivy,,
template_09578_340804757.yaml,cloudformation,trivy,,
template_09578_340804757.yaml,cloudformation,trivy,,
template_09578_340804757.yaml,cloudformation,trivy,,
template_09578_340804757.yaml,cloudformation,trivy,,
template_09578_340804757.yaml,cloudformation,trivy,,
template_09578_340804757.yaml,cloudformation,trivy,,
template_09578_340804757.yaml,cloudformation,trivy,,
template_09578_340804757.yaml,cloudformation,trivy,,
template_09578_340804757.yaml,cloudformation,trivy,,
template_09578_340804757.yaml,cloudformation,trivy,,
template_09578_340804757.yaml,cloudformation,trivy,,
template_09578_340804757.yaml,cloudformation,checkov,,
template_11072_h2-service.yaml,cloudformation,cfn-lint,,
template_11072_h2-service.yaml,cloudformation,cfn-lint,,
template_11072_h2-service.yaml,cloudformation,cfn-lint,,
template_11072_h2-service.yaml,cloudformation,trivy,,
template_11072_h2-service.yaml,cloudformation,trivy,,
template_11072_h2-service.yaml,cloudformation,checkov,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,cfn-lint,,
template_11599_template.yml,cloudformation,trivy,,
template_11599_template.yml,cloudformation,trivy,,
template_11599_template.yml,cloudformation,trivy,,
template_11599_template.yml,cloudformation,trivy,,
template_11599_template.yml,cloudformation,trivy,,
template_11599_template.yml,cloudformation,trivy,,
template_11599_template.yml,cloudformation,trivy,,
template_11599_template.yml,cloudformation,trivy,,
template_11599_template.yml,cloudformation,trivy,,
template_11599_template.yml,cloudformation,trivy,,
template_11599_template.yml,cloudformation,trivy,,
template_11599_template.yml,cloudformation,trivy,,
template_11599_template.yml,cloudformation,trivy,,
template_11599_template.yml,cloudformation,trivy,,
template_11599_template.yml,cloudformation,checkov,,
template_11851_Operational-Best-Practices-for-CIS-AWS-v1.3-Level1.yaml,cloudformation,cfn-lint,,
